id,name,age,score,active,address,type,position,color
245,Sibyl Fay,44,43.37,true,441 Princess Ramp,5,"(-4,-9,10)","(0.4,0.9,0.9)"
246,Amelia Willms,54,54.03,true,45633 Greenfelder Rapids,3,"(-1,-7,7)","(1,0.4,0.3)"
247,Bethel Stark DVM,38,29.18,true,2932 Orn Radial,3,"(8,0,-6)","(0.8,0.3,0.4)"
248,Brain Halvorson DDS,19,20.37,true,1090 Anastacio Inlet,3,"(7,4,9)","(0.8,0.9,0.3)"
249,Flavio Rempel,28,49.53,true,60748 Savannah Ramp,4,"(-5,8,-10)","(0.2,0.4,0.4)"
250,Maudie Torphy MD,26,84.15,true,93542 Birdie Brooks,1,"(-10,9,7)","(0.4,0.7,0.4)"
251,Adaline Wisozk,50,96.97,true,34180 Wisoky Mill,5,"(-3,5,1)","(0.5,0.2,0.1)"
252,Presley West,37,48.47,false,6264 Harber Cliff,0,"(-8,4,4)","(0.7,0.2,1)"
253,Wilma Yost MD,47,46.10,true,4358 Carmel Stream,0,"(5,-4,-9)","(0.7,0.3,0.1)"
254,Art DuBuque,34,12.39,true,45025 Meda Circle,3,"(-9,-2,-9)","(0.6,1,0.1)"
255,Joan Moen,24,51.26,false,98846 Hilpert Tunnel,1,"(7,1,3)","(0,0.5,0.9)"
256,Stephan Beahan,45,25.64,false,38706 Wisoky Creek,1,"(-6,7,10)","(0.7,0.6,0.7)"
257,Jaylin Tremblay,44,70.93,true,460 Dalton Courts,3,"(-2,-7,-5)","(0.2,0.3,0.1)"
258,Edgardo D'Amore,30,83.87,true,3632 Dewayne Crescent,5,"(-9,2,-2)","(0.4,0.9,0.9)"
259,Miss Jerry Kuhlman,32,93.94,true,6744 Reilly Ports,3,"(-7,7,2)","(0.3,0.9,0)"
260,Vern Koelpin,41,93.07,false,7730 Delores River,0,"(1,7,3)","(0.2,0,0.6)"
261,Reta Thompson,35,50.46,false,079 Abshire Square,0,"(5,-10,-10)","(0.6,0,0.7)"
262,Gaston VonRueden,50,8.230,false,143 Keira Turnpike,1,"(-9,4,1)","(1,0.7,0.8)"
263,Avery O'Kon,52,20.88,true,5402 Rossie Summit,5,"(-10,-3,-2)","(0,0.4,0.7)"
264,Jadyn Larson,44,17.19,false,316 Robb Summit,5,"(7,7,-7)","(0.4,0.7,0.9)"
265,Milo Johns I,35,84.10,true,5683 Louvenia Keys,2,"(0,-3,9)","(0.1,0.2,0.3)"
266,Katherine Cruickshank,18,55.49,true,946 Klocko Ramp,4,"(3,10,-9)","(0.4,1,0.3)"
267,Bonnie Mueller,33,88.20,true,00513 VonRueden Crescent,4,"(1,-10,9)","(0.9,0.6,0.9)"
268,Ms. Tracy Jacobi,18,88.87,true,278 Kelsi Manor,5,"(-5,4,9)","(0.4,0.6,0.1)"
269,Lafayette Heathcote Jr.,31,13.35,true,6385 Cummerata Causeway,4,"(8,-4,-1)","(0.5,1,0.7)"
270,Kendra Bashirian,40,27.46,false,441 Claude Streets,5,"(-5,-1,-1)","(0.2,0.9,0.6)"
271,Nettie Maggio,48,45.36,false,68008 Ona Way,4,"(6,-8,7)","(1,0.2,0.1)"
272,Elda Roob I,32,80.37,false,97977 Leffler Street,1,"(5,-6,7)","(0.6,0.4,1)"
273,Lorenz Cummings,18,53.44,true,3347 Kreiger Oval,2,"(8,1,6)","(0.4,0.5,0.5)"
274,Freda Moen,43,61.01,true,5110 Aiyana Fall,0,"(2,1,9)","(0.5,0.2,0.3)"
275,Barrett Orn,25,65.83,false,7314 Parker Road,1,"(-8,-9,3)","(0.2,0.6,0.5)"
276,Santina Gibson,33,18.92,false,298 Prosacco Plaza,1,"(2,10,8)","(0.5,0.9,0.9)"
277,Vickie Murazik,21,31.72,true,317 Godfrey Avenue,4,"(2,5,-8)","(0.5,0,0.7)"
278,Alfonzo Donnelly,41,98.87,true,2407 Simonis Streets,3,"(1,9,-7)","(0,0.4,0)"
279,Afton Schoen,32,8.750,false,949 Teresa Manor,4,"(-8,1,-3)","(0.4,0.1,0.8)"
280,Marco Rosenbaum,49,84.14,true,0046 Willms Vista,4,"(7,8,9)","(0.4,0.3,0.6)"
281,Murl Weber PhD,41,25.33,true,536 Ortiz Junctions,1,"(-7,-4,-5)","(0.8,0.7,0.9)"
282,Unique Prosacco,38,83.83,false,092 Amari Walks,1,"(2,-6,10)","(0.3,0.4,0.9)"
283,Mr. Kyleigh Schumm,44,15.66,true,84740 Katelyn Trail,1,"(4,2,-7)","(1,0.1,0.8)"
284,Estefania Kulas,39,54.70,false,4099 Joshua Harbors,4,"(10,-1,-5)","(0.3,0.8,0.5)"
285,Ms. Marcelo Predovic,20,24.86,false,26812 Hermiston Place,3,"(-5,-4,8)","(0.8,0.6,0.1)"
286,Norbert Hane DDS,33,4.160,true,763 Rashawn Mountains,3,"(-7,9,-1)","(0.8,0.8,0.4)"
287,Clifton Hand,20,87.41,false,399 Otto Ports,0,"(2,-4,-2)","(0.1,0.8,0.2)"
288,Loren Breitenberg MD,50,49.31,true,8287 Ernestina Stream,4,"(7,10,2)","(0.9,0.1,1)"
289,Chelsey Breitenberg,37,2.920,false,255 Jordyn Mall,4,"(-9,-3,-3)","(0.7,0.1,0.8)"
290,Wilfrid Altenwerth,43,15.04,false,6825 Gaylord Spur,1,"(0,6,1)","(0.1,0.8,0.5)"
291,Mable Nader,39,22.25,false,34630 Quitzon Garden,1,"(-3,10,6)","(0.8,0.2,0.7)"
292,Wilson Weissnat,18,85.52,false,61023 Darrell Shores,1,"(-7,1,9)","(0.1,0.5,0)"
293,Ramona Hodkiewicz,55,89.44,false,7642 Hal Ridge,3,"(-2,1,2)","(0.8,0.2,0.2)"
294,Garret Kemmer,29,16.82,true,281 Camila Mill,5,"(-2,-6,-5)","(0.8,0.1,0)"
295,Dexter Cremin,55,44.84,true,78448 Jaquelin Gardens,5,"(-3,-1,3)","(0.4,0.6,0.9)"
296,Amelie Schoen,20,83.34,false,6278 Vincenzo Causeway,4,"(6,-4,8)","(0.2,0,0.4)"
297,Kory Gorczany,35,56.27,false,123 Caleb Center,5,"(7,-6,-7)","(0.6,0.5,0.2)"
298,Raphael McLaughlin,42,93.78,false,6044 Jacobson Forks,3,"(2,7,-8)","(0.1,0.4,0.7)"
299,Efrain Dare,35,34.18,true,879 Marquise Common,3,"(-3,-8,8)","(0.4,0.3,0.7)"
300,Elsa Hettinger,37,90.01,false,23970 Francisco Shore,1,"(2,10,7)","(0.9,0.2,0.3)"
